Año,Categoría,Nombre,Sexo,Colegio_Club,Disciplina,Marca,Unidad,Lugar,Torneo,Fuente,Torneos_Asignados
2019,U14,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2019,U16,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2019,U18,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2020,U14,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2020,U16,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2020,U18,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2021,U14,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2021,U16,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2021,U18,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2022,U14,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2022,U16,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2022,U18,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2023,U14,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2023,U16,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2023,U18,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2024,U14,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2024,U16,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2024,U18,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2025,U14,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2025,U16,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
2025,U18,,,,,,,,,,"USPLAT, Atlético Santiago Interescolares, IND"
