Año,Categoría,Nombre,Sexo,Colegio_Club,Disciplina,Marca,Unidad,Lugar,Torneo,Fuente,Torneos_Asignados
2019,U14,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2019,U16,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2019,U18,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2020,U14,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2020,U16,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2020,U18,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2021,U14,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2021,U16,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2021,U18,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2022,U14,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2022,U16,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2022,U18,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2023,U14,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2023,U16,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2023,U18,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2024,U14,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2024,U16,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2024,U18,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2025,U14,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2025,U16,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
2025,U18,,,,,,,,,,"Rolf Hoppe, JDE Nacional, Sudamericanos"
