Categoría;Prueba;Marca;Año;Competencia;Nombre Atleta
Adulto Femenino;Lanzamiento de bala;16.43 metros;2019;Panamericanos Lima adulto;Ivana Gallardo Cruchet
Adulto Femenino;Lanzamiento de disco;50.85 metros;2019;Panamericanos Lima adulto;Ivana Gallardo Cruchet
Adulto Femenino;Lanzamiento de disco;53.42  metros;2019;Panamericanos Lima adulto;Karen Gallardo Pinto
Adulto Femenino;Lanzamiento de martillo;63.39  metros;2019;Panamericanos Lima adulto;Mariana García Walker
Adulto Femenino;Lanzamiento de jabalina;53.66  metros;2019;Panamericanos Lima adulto;María Paz Ríos Lama
Adulto Femenino;Lanzamiento de bala;16.58  metros;2023;Panamericanos Santiago adulto;Natalia Duco Soler 
Adulto Femenino;Lanzamiento de bala;15.30  metros;2023;Panamericanos Santiago adulto;Ivana Gallardo Cruchet
Adulto Femenino;Lanzamiento de disco;55.36  metros;2023;Panamericanos Santiago adulto;Karen Gallardo Pinto
Adulto Femenino;Lanzamiento de disco;47.97  metros;2023;Panamericanos Santiago adulto;Catalina Bravo Aguilera
Adulto Femenino;Lanzamiento de martillo;62.74  metros;2023;Panamericanos Santiago adulto;Mariana García Walker
Adulto Femenino;Lanzamiento de jabalina;48.43  metros;2023;Panamericanos Santiago adulto;Maria Paz Rios Lama
Juvenil/Junior Femenino;Lanzamiento de disco;52.44  metros;2021;Panamericanos junior Cali-Valle;Catalina Bravo Aguilera
Juvenil/Junior Femenino;Lanzamiento de martillo;64.86  metros;2021;Panamericanos junior Cali-Valle;Mariana García Walker
Juvenil/Junior Femenino;Lanzamiento de martillo;54.42  metros;2021;Panamericanos junior Cali-Valle;Javiera Moraga Dell'Orto
Juvenil/Junior Femenino;Lanzamiento de bala;15.47  metros;2025;Panamericanos junior Asuncion ;Mariela Perez
Adulto Femenino;Lanzamiento de jabalina;49.16  metros;2019;Sudamericano Adulto;Maria Paz Rios
Adulto Femenino;Lanzamiento de bala;16.77  metros;2019;Sudamericano Adulto;Ivanna Gallardo
Adulto Femenino;Lanzamiento de disco;55.09  metros;2019;Sudamericano Adulto;Karen Gallardo
Adulto Femenino;Lanzamiento de martillo;63.27  metros;2019;Sudamericano Adulto;Mariana Garcia
Adulto Femenino;Lanzamiento de jabalina;49.78  metros;2021;Sudamericano Adulto;Maria Paz Rios
Adulto Femenino;Lanzamiento de bala;16.94  metros;2021;Sudamericano Adulto;Ivanna Gallardo
Adulto Femenino;Lanzamiento de disco;59.72  metros;2021;Sudamericano Adulto;Karen Gallardo
Adulto Femenino;Lanzamiento de martillo;63.2  metros;2021;Sudamericano Adulto;Mariana Garcia
Adulto Femenino;Lanzamiento de bala;17.39  metros;2023;Sudamericano Adulto;Ivanna Gallardo
Adulto Femenino;Lanzamiento de bala;16.93  metros;2023;Sudamericano Adulto;Natalia Duco Soler 
Adulto Femenino;Lanzamiento de martillo;61.44  metros;2023;Sudamericano Adulto;Mariana Garcia
Adulto Femenino;Lanzamiento de disco;59.92  metros;2023;Sudamericano Adulto;Karen Gallardo
Adulto Femenino;Lanzamiento de jabalina;52.65  metros;2023;Sudamericano Adulto;Maria Paz Rios
Juvenil/Junior Femenino;Lanzamiento de jabalina;38.53  metros;2022;Sudamericano Escolar;Nimsy Martinez
Juvenil/Junior Femenino;Lanzamiento de disco;36.22  metros;2024;Sudamericano Escolar;Maria Ellsworth
Juvenil/Junior Femenino;Lanzamiento de disco;29.12  metros;2024;Sudamericano Escolar;Elisa Barros
Juvenil/Junior Femenino;Lanzamiento de martillo;48.82  metros;2024;Sudamericano Escolar;Maria Paz Bakovic
Juvenil/Junior Femenino;Lanzamiento de martillo;47.22  metros;2024;Sudamericano Escolar;Charlott Perez
Juvenil/Junior Femenino;Lanzamiento de bala;11.95  metros;2024;Sudamericano Escolar;Maria Ellsworth
Juvenil/Junior Femenino;Lanzamiento de bala;11.77  metros;2024;Sudamericano Escolar;Anastasia Salvador
Juvenil/Junior Femenino;Lanzamiento de disco;43.15  metros;2021;Sudamericano Escolar;Valentina Ulloa
Juvenil/Junior Femenino;Lanzamiento de disco;37 metros;2021;Sudamericano Escolar;Sara Vera
Juvenil/Junior Femenino;Lanzamiento de martillo;55.3  metros;2021;Sudamericano Escolar;Sara Vera
Juvenil/Junior Femenino;Lanzamiento de bala;13.29  metros;2021;Sudamericano Escolar;Gracia Gorziglia
Juvenil/Junior Femenino;Lanzamiento de bala;13.12  metros;2021;Sudamericano Escolar;Valentina Ulloa
Juvenil/Junior Femenino;Lanzamiento de jabalina;34.36 metros;2023;Nacional Escolar;Antonia Maldonado
Juvenil/Junior Femenino;Lanzamiento de jabalina;30.54 metros;2023;Nacional Escolar;Paola Remolcoy
Juvenil/Junior Femenino;Lanzamiento de jabalina;29.97 metros;2023;Nacional Escolar;Sofia Ossa
Juvenil/Junior Femenino;Lanzamiento de jabalina;29.06 metros;2023;Nacional Escolar;Josefa Boetsch
Juvenil/Junior Femenino;Lanzamiento de jabalina;28.78 metros;2023;Nacional Escolar;Francisca Opitz
Juvenil/Junior Femenino;Lanzamiento de jabalina;29.06 metros;2023;Nacional Escolar;Amelia Pardo
Juvenil/Junior Femenino;Lanzamiento de jabalina;27.80 metros;2023;Nacional Escolar;Isidora Moya
Juvenil/Junior Femenino;Lanzamiento de jabalina;26.25 metros;2023;Nacional Escolar;Ignacia Pratt
Juvenil/Junior Femenino;Lanzamiento de bala;9.66 metros;2023;Nacional Escolar;Amelia Pardo
Juvenil/Junior Femenino;Lanzamiento de bala;9.63 metros;2023;Nacional Escolar;Isidora Soto
Juvenil/Junior Femenino;Lanzamiento de bala;9.53 metros;2023;Nacional Escolar;Pia Garrido
Juvenil/Junior Femenino;Lanzamiento de bala;9.52 metros;2023;Nacional Escolar;Josefa Boetsch
Juvenil/Junior Femenino;Lanzamiento de bala;9.48 metros;2023;Nacional Escolar;Antonia Maldonado
Juvenil/Junior Femenino;Lanzamiento de bala;9.26 metros;2023;Nacional Escolar;Katherine Bahamondes
Juvenil/Junior Femenino;Lanzamiento de bala;9.02 metros;2023;Nacional Escolar;Francisca Castillo
Juvenil/Junior Femenino;Lanzamiento de bala;8.47 metros;2023;Nacional Escolar;Maria Ruiz Tagle
Juvenil/Junior Femenino;Lanzamiento de disco;30.09 metros;2023;Nacional Escolar;Elisa Barros
Juvenil/Junior Femenino;Lanzamiento de disco;26.98 metros;2023;Nacional Escolar;Emilia Cabezas
Juvenil/Junior Femenino;Lanzamiento de disco;26.56 metros;2023;Nacional Escolar;Catalina Plama
Juvenil/Junior Femenino;Lanzamiento de disco;21.74 metros;2023;Nacional Escolar;Hellen Greys
Juvenil/Junior Femenino;Lanzamiento de disco;19.86 metros;2023;Nacional Escolar;Sofia Ossa
Juvenil/Junior Femenino;Lanzamiento de disco;19.79 metros;2023;Nacional Escolar;Hadassa Chacon
Juvenil/Junior Femenino;Lanzamiento de disco;18.99 metros;2023;Nacional Escolar;Francisca Castillo
Juvenil/Junior Femenino;Lanzamiento de disco;18.58 metros;2023;Nacional Escolar;Charlot Perez
Juvenil/Junior Femenino;Lanzamiento de martillo;41.10 metros;2023;Nacional Escolar;Charlot Perez
Juvenil/Junior Femenino;Lanzamiento de martillo;39.40 metros;2023;Nacional Escolar;Catalina Vilchez
Juvenil/Junior Femenino;Lanzamiento de martillo;34.53 metros;2023;Nacional Escolar;Carla Espinoza
Juvenil/Junior Femenino;Lanzamiento de martillo;34.47 metros;2023;Nacional Escolar;Emilia Martinez
Juvenil/Junior Femenino;Lanzamiento de martillo;33.98 metros;2023;Nacional Escolar;Javiera Guerrero
Juvenil/Junior Femenino;Lanzamiento de martillo;31.50 metros;2023;Nacional Escolar;Catalina Diaz
Juvenil/Junior Femenino;Lanzamiento de martillo;29.49 metros;2023;Nacional Escolar;Maria Gracia Labbe
Juvenil/Junior Femenino;Lanzamiento de martillo;27.95 metros;2023;Nacional Escolar;Franceska Fuentes
Juvenil/Junior Femenino;Lanzamiento de bala;10.16 metros;2024;Nacional Escolar;Catalina Palma
Juvenil/Junior Femenino;Lanzamiento de bala;10.10 metros;2024;Nacional Escolar;Matilde Diaz
Juvenil/Junior Femenino;Lanzamiento de bala;9.73 metros;2024;Nacional Escolar;Antonia Maldonado
Juvenil/Junior Femenino;Lanzamiento de bala;9.51 metros;2024;Nacional Escolar;Denise Yevenes
Juvenil/Junior Femenino;Lanzamiento de bala;9.51 metros;2024;Nacional Escolar;Catalina Gomez
Juvenil/Junior Femenino;Lanzamiento de bala;9.34 metros;2024;Nacional Escolar;Rocio Muñoz
Juvenil/Junior Femenino;Lanzamiento de bala;8.69 metros;2024;Nacional Escolar;Isabel Morales
Juvenil/Junior Femenino;Lanzamiento de bala;8.48 metros;2024;Nacional Escolar;Yasnira Ferreira
Juvenil/Junior Femenino;Lanzamiento de bala;8.48 metros;2024;Nacional Escolar;Franceska Fuentes
Juvenil/Junior Femenino;Lanzamiento de disco;37.47 metros;2024;Nacional Escolar;Renata Lobos
Juvenil/Junior Femenino;Lanzamiento de disco;33.27 metros;2024;Nacional Escolar;Catalina Palma
