Categoría;Prueba;Marca;Año;Competencia;Nombre Atleta
Adulto Masculino;Lanzamiento de bala ;18.38 metros;2019;Panamericanos Lima adulto;Santiago Basso Hughes
Adulto Masculino;Lanzamiento de martillo ;74.98 metros;2019;Panamericanos Lima adulto;Gabriel Kehr Sabra
Adulto Masculino;Lanzamiento de martillo;74.38 metros;2019;Panamericanos Lima adulto;Humberto Mansilla Arzola
Adulto Masculino;Lanzamiento de jabalina ;72.84 metros;2019;Panamericanos Lima adulto;Francisco Muse Mehech
Adulto Masculino;Lanzamiento de jabalina ;67.56 metros;2023;Panamericanos Santiago adulto;Francisco Muse Mehech
Adulto Masculino;Lanzamiento de bala ;16.20 metros;2023;Panamericanos Santiago adulto;Matias Puschel Flies
Adulto Masculino;Lanzamiento de disco;63.39 metros;2023;Panamericanos Santiago adulto;Lucas Nervi Schmidt
Adulto Masculino;Lanzamiento de martillo;74.35 metros;2023;Panamericanos Santiago adulto;Humberto Mansilla Arzola
Adulto Masculino;Lanzamiento de martillo;74.32 metros;2023;Panamericanos Santiago adulto;Gabriel Kehr Sabra
Juvenil/Junior Masculino;Lanzamiento de bala ;17.38 metros;2021;Panamericanos junior Cali-Valle;Camilo Reyes Vazquez
Juvenil/Junior Masculino;Lanzamiento de disco;61.08 metros;2021;Panamericanos junior Cali-Valle;Lucas Nervi Schmidt
Juvenil/Junior Masculino;Lanzamiento de martillo;63.06 metros;2021;Panamericanos junior Cali-Valle;Daniel Leal Maureira
Juvenil/Junior Masculino;Lanzamiento de disco;49.20 metros;2025;Panamericanos junior Asuncion ;Camilo Rojas
Juvenil/Junior Masculino;Lanzamiento de martillo;67.04 metros;2025;Panamericanos junior Asuncion ;Benjamin Muñoz
Juvenil/Junior Masculino;Lanzamiento de martillo;66.53 metros;2025;Panamericanos junior Asuncion ;Miguel Castro
Adulto Masculino;Lanzamiento de jabalina;75.97 metros;2019;Sudamericano Adulto;Francisco Muse
Adulto Masculino;Lanzamiento de bala;15.68 metros;2019;Sudamericano Adulto;Rodrigo Cardenas
Adulto Masculino;Lanzamiento de disco;54.31 metros;2019;Sudamericano Adulto;Claudio Romero
Adulto Masculino;Lanzamiento de martillo;75.27 metros;2019;Sudamericano Adulto;Gabriel Kehr
Adulto Masculino;Lanzamiento de martillo;73 metros;2019;Sudamericano Adulto;Humberto Mansilla
Adulto Masculino;Lanzamiento de jabalina;70.53 metros;2021;Sudamericano Adulto;Francisco Muse
Adulto Masculino;Lanzamiento de bala;18.1 metros;2021;Sudamericano Adulto;Jose Miguel Ballivian
Adulto Masculino;Lanzamiento de disco;63.18 metros;2021;Sudamericano Adulto;Lucas Nervi
Adulto Masculino;Lanzamiento de martillo;75.83 metros;2021;Sudamericano Adulto;Humberto Mansilla
Adulto Masculino;Lanzamiento de martillo;75.18 metros;2021;Sudamericano Adulto;Gabriel Kehr
Adulto Masculino;Lanzamiento de bala;17.65 metros;2023;Sudamericano Adulto;Mati­as Puschel
Adulto Masculino;Lanzamiento de bala;17.28 metros;2023;Sudamericano Adulto;Jose Joaquin Ballivian
Adulto Masculino;Lanzamiento de martillo;75.92 metros;2023;Sudamericano Adulto;Humberto Mansilla
Adulto Masculino;Lanzamiento de martillo;75.57 metros;2023;Sudamericano Adulto;Gabriel Kehr
Adulto Masculino;Lanzamiento de disco;63.24 metros;2023;Sudamericano Adulto;Claudio Romero
Adulto Masculino;Lanzamiento de disco;59.64 metros;2023;Sudamericano Adulto;Lucas Nervi
Juvenil Masculino;Lanzamiento de martillo;69.07 metros;2022;Sudamericano Escolar;Cipriano Riquelme
Juvenil Masculino;Lanzamiento de disco;57.64 metros;2022;Sudamericano Escolar;Alan Fell
Juvenil Masculino;Lanzamiento de bala;15.28 metros;2022;Sudamericano Escolar;Alan Fell
Juvenil Masculino;Lanzamiento de jabalina;66.25 metros;2022;Sudamericano Escolar;Pablo Frutos
Juvenil Masculino;Lanzamiento de disco;46.44 metros;2024;Sudamericano Escolar;Salvador East
Juvenil Masculino;Lanzamiento de martillo;68.13 metros;2024;Sudamericano Escolar;Nicolas Vergara
Juvenil Masculino;Lanzamiento de martillo;55.42 metros;2024;Sudamericano Escolar;Jahaziel Belmar
Juvenil Masculino;Lanzamiento de bala;16.08 metros;2024;Sudamericano Escolar;Vittorio Gorziglia
Juvenil Masculino;Lanzamiento de bala;16.05 metros;2024;Sudamericano Escolar;Ricardo Lobos
Juvenil Masculino;Lanzamiento de jabalina;57.47 metros;2024;Sudamericano Escolar;Lautaro Zapico
Juvenil Masculino;Lanzamiento de jabalina;45.97 metros;2024;Sudamericano Escolar;Matias Lopez
Juvenil Masculino;Lanzamiento de disco;51.74 metros;2021;Sudamericano Escolar;Felipe de la Maza
Juvenil Masculino;Lanzamiento de martillo;66.99 metros;2021;Sudamericano Escolar;Cipriano Riquelme
Juvenil Masculino;Lanzamiento de martillo;66.04 metros;2021;Sudamericano Escolar;Miguel Castro
Juvenil Masculino;Lanzamiento de bala;16.18 metros;2021;Sudamericano Escolar;Felipe de la Maza
Juvenil Masculino;Lanzamiento de jabalina;65.52 metros;2021;Sudamericano Escolar;Pablo Frutos
Juvenil/Junior Masculino;Lanzamiento de jabalina;40.58 metros;2023;Nacional Escolar;Joaquin Amunategui
Juvenil/Junior Masculino;Lanzamiento de jabalina;37.79 metros;2023;Nacional Escolar;Leonardo Figueroa
Juvenil/Junior Masculino;Lanzamiento de jabalina;37.05 metros;2023;Nacional Escolar;Jose Gajardo
Juvenil/Junior Masculino;Lanzamiento de jabalina;36.29 metros;2023;Nacional Escolar;Martin Swett
Juvenil/Junior Masculino;Lanzamiento de jabalina;33.64 metros;2023;Nacional Escolar;Axel Rubio
Juvenil/Junior Masculino;Lanzamiento de jabalina;33.56 metros;2023;Nacional Escolar;Camilo Guerrero
Juvenil/Junior Masculino;Lanzamiento de jabalina;33.00 metros;2023;Nacional Escolar;Alvaro Asqui
Juvenil/Junior Masculino;Lanzamiento de jabalina;31.62 metros;2023;Nacional Escolar;Vicente Espinoza
Juvenil/Junior Masculino;Lanzamiento de bala;16.09 metros;2023;Nacional Escolar;Vittorio Gorziglia
Juvenil/Junior Masculino;Lanzamiento de bala;11.46 metros;2023;Nacional Escolar;Jose Gajardo
Juvenil/Junior Masculino;Lanzamiento de bala;11.07 metros;2023;Nacional Escolar;Nicolas Salinas
Juvenil/Junior Masculino;Lanzamiento de bala;10.80 metros;2023;Nacional Escolar;Camilo Guerrero
Juvenil/Junior Masculino;Lanzamiento de bala;10.59 metros;2023;Nacional Escolar;Manuel Manriquez
Juvenil/Junior Masculino;Lanzamiento de bala;10.49 metros;2023;Nacional Escolar;Luis Silva
Juvenil/Junior Masculino;Lanzamiento de bala;10.26 metros;2023;Nacional Escolar;Lyann Yañez
Juvenil/Junior Masculino;Lanzamiento de bala;9.87 metros;2023;Nacional Escolar;Cristobal Ortiz
Juvenil/Junior Masculino;Lanzamiento de disco;43.14 metros;2023;Nacional Escolar;Vittorio Gorziglia
Juvenil/Junior Masculino;Lanzamiento de disco;33.38 metros;2023;Nacional Escolar;Bastian Miño
Juvenil/Junior Masculino;Lanzamiento de disco;28.79 metros;2023;Nacional Escolar;Lyann Yañez
Juvenil/Junior Masculino;Lanzamiento de disco;28.59 metros;2023;Nacional Escolar;Sebastian Ochoa
Juvenil/Junior Masculino;Lanzamiento de disco;26.29 metros;2023;Nacional Escolar;Yurdan Venegas
Juvenil/Junior Masculino;Lanzamiento de disco;25.47 metros;2023;Nacional Escolar;Felipe Sanchez
Juvenil/Junior Masculino;Lanzamiento de disco;25.12 metros;2023;Nacional Escolar;Rene Fuchsolcher
Juvenil/Junior Masculino;Lanzamiento de disco;23.50 metros;2023;Nacional Escolar;Vicente Espinoza
Juvenil/Junior Masculino;Lanzamiento de martillo;41.05 metros;2023;Nacional Escolar;Luis Silva
Juvenil/Junior Masculino;Lanzamiento de martillo;36.49 metros;2023;Nacional Escolar;Ezequiel Guarda
Juvenil/Junior Masculino;Lanzamiento de martillo;33.22 metros;2023;Nacional Escolar;Cristian Rodriguez
Juvenil/Junior Masculino;Lanzamiento de martillo;38.72 metros;2023;Nacional Escolar;Manuel Manriquez
Juvenil/Junior Masculino;Lanzamiento de jabalina;47.93 metros;2024;Nacional Escolar;Tomas Numair
Juvenil/Junior Masculino;Lanzamiento de jabalina;45.83 metros;2024;Nacional Escolar;Gaston Poblete
Juvenil/Junior Masculino;Lanzamiento de jabalina;45.68 metros;2024;Nacional Escolar;Lucas Bianchi
Juvenil/Junior Masculino;Lanzamiento de jabalina;39.73 metros;2024;Nacional Escolar;Juan Cadenasso
Juvenil/Junior Masculino;Lanzamiento de jabalina;38.03 metros;2024;Nacional Escolar;Everson Zarraga
Juvenil/Junior Masculino;Lanzamiento de jabalina;37.67 metros;2024;Nacional Escolar;Cristian Rubilar
Juvenil/Junior Masculino;Lanzamiento de jabalina;35.77 metros;2024;Nacional Escolar;Alvaro Asqui
Juvenil/Junior Masculino;Lanzamiento de jabalina;34.29 metros;2024;Nacional Escolar;Vicente Silva
Juvenil/Junior Masculino;Lanzamiento de bala;13.44 metros;2024;Nacional Escolar;Cristobal Ortiz
Juvenil/Junior Masculino;Lanzamiento de bala;13.04 metros;2024;Nacional Escolar;Simon Navarrete
Juvenil/Junior Masculino;Lanzamiento de bala;13.01 metros;2024;Nacional Escolar;Kevin Roa
Juvenil/Junior Masculino;Lanzamiento de bala;12.48 metros;2024;Nacional Escolar;Domingo Galvez
Juvenil/Junior Masculino;Lanzamiento de bala;11.60 metros;2024;Nacional Escolar;Jose Aguilar
Juvenil/Junior Masculino;Lanzamiento de bala;11.45 metros;2024;Nacional Escolar;Dante Pangue
Juvenil/Junior Masculino;Lanzamiento de bala;11.24 metros;2024;Nacional Escolar;Joaquin Alarcon
Juvenil/Junior Masculino;Lanzamiento de bala;11.05 metros;2024;Nacional Escolar;Nicolas Cartes
Juvenil/Junior Masculino;Lanzamiento de disco;50.73 metros;2024;Nacional Escolar;Ignacio Jensen
Juvenil/Junior Masculino;Lanzamiento de disco;42.82 metros;2024;Nacional Escolar;Juan Alvarado
Juvenil/Junior Masculino;Lanzamiento de disco;42.20 metros;2024;Nacional Escolar;Ociel Cardenas
Juvenil/Junior Masculino;Lanzamiento de disco;39.48 metros;2024;Nacional Escolar;Cristian Rubilar
Juvenil/Junior Masculino;Lanzamiento de disco;37.57 metros;2024;Nacional Escolar;Andres Castillo
Juvenil/Junior Masculino;Lanzamiento de disco;36.63 metros;2024;Nacional Escolar;Simon Navarrtee
Juvenil/Junior Masculino;Lanzamiento de disco;34.51 metros;2024;Nacional Escolar;Lucas Rojas
Juvenil/Junior Masculino;Lanzamiento de martillo;45.16 metros;2024;Nacional Escolar;Derek Beni
Juvenil/Junior Masculino;Lanzamiento de martillo;44.63 metros;2024;Nacional Escolar;Cristian Rodriguez
Juvenil/Junior Masculino;Lanzamiento de martillo;43.73 metros;2024;Nacional Escolar;Vicente Eriza
Juvenil/Junior Masculino;Lanzamiento de martillo;40.30 metros;2024;Nacional Escolar;Alonso Fernandez
Juvenil/Junior Masculino;Lanzamiento de martillo;39.49 metros;2024;Nacional Escolar;Sebastian Figueroa
Juvenil/Junior Masculino;Lanzamiento de martillo;39.48 metros;2024;Nacional Escolar;Benjamin Briones
Juvenil/Junior Masculino;Lanzamiento de martillo;34.85 metros;2024;Nacional Escolar;Yohan Araya
Juvenil/Junior Masculino;Lanzamiento de martillo;31.38 metros;2024;Nacional Escolar;Mario Moreno
Juvenil/Junior Masculino;Lanzamiento de jabalina;54.82 metros;2025;Nacional Escolar;Cristian Rubilar
Juvenil/Junior Masculino;Lanzamiento de jabalina;46.54 metros;2025;Nacional Escolar;Sebastian Abogabir
Juvenil/Junior Masculino;Lanzamiento de jabalina;20.83 metros;2025;Nacional Escolar;Martin Silva
Juvenil/Junior Masculino;Lanzamiento de jabalina;39.79 metros;2025;Nacional Escolar;Cristian Castillo
Juvenil/Junior Masculino;Lanzamiento de jabalina;38.56 metros;2025;Nacional Escolar;Jose San Martin
Juvenil/Junior Masculino;Lanzamiento de jabalina;34.30 metros;2025;Nacional Escolar;Bayron Colina
Juvenil/Junior Masculino;Lanzamiento de jabalina;32.05 metros;2025;Nacional Escolar;Sebastian Suarez
Juvenil/Junior Masculino;Lanzamiento de jabalina;31.80 metros;2025;Nacional Escolar;Vasco Leonidas
Juvenil/Junior Masculino;Lanzamiento de bala;15.91 metros;2025;Nacional Escolar;Cristobal Cortes
Juvenil/Junior Masculino;Lanzamiento de bala;12.50 metros;2025;Nacional Escolar;Lucas Rojas
Juvenil/Junior Masculino;Lanzamiento de bala;12.03 metros;2025;Nacional Escolar;Matias Soto
Juvenil/Junior Masculino;Lanzamiento de bala;11.80 metros;2025;Nacional Escolar;Hllyfer Avila
Juvenil/Junior Masculino;Lanzamiento de bala;11.14 metros;2025;Nacional Escolar;Yohan Araya
Juvenil/Junior Masculino;Lanzamiento de bala;10.77 metros;2025;Nacional Escolar;Enzo Garces
Juvenil/Junior Masculino;Lanzamiento de bala;10.75 metros;2025;Nacional Escolar;Sebastian Asuarez
Juvenil/Junior Masculino;Lanzamiento de bala;10.69 metros;2025;Nacional Escolar;Juan Alvarado
Juvenil/Junior Masculino;Lanzamiento de disco;54.55 metros;2025;Nacional Escolar;Cristobal Cortes
Juvenil/Junior Masculino;Lanzamiento de disco;51.68 metros;2025;Nacional Escolar;Juan Pablo Alvarado
Juvenil/Junior Masculino;Lanzamiento de disco;48.06 metros;2025;Nacional Escolar;Cristian Rubilar
Juvenil/Junior Masculino;Lanzamiento de disco;45.79 metros;2025;Nacional Escolar;Lucas Rojas
Juvenil/Junior Masculino;Lanzamiento de disco;40.52 metros;2025;Nacional Escolar;Alonzo Muñoz
Juvenil/Junior Masculino;Lanzamiento de disco;36.08 metros;2025;Nacional Escolar;Cristobal Riquelme
Juvenil/Junior Masculino;Lanzamiento de disco;35.90 metros;2025;Nacional Escolar;Hollyfer Avila
Juvenil/Junior Masculino;Lanzamiento de disco;34.38 metros;2025;Nacional Escolar;Martin Roman
Juvenil/Junior Masculino;Lanzamiento de martillo;51.40 metros;2025;Nacional Escolar;Walter Seguel
Juvenil/Junior Masculino;Lanzamiento de martillo;47.29 metros;2025;Nacional Escolar;Francisco Solo de Zaldivar
Juvenil/Junior Masculino;Lanzamiento de martillo;46.85 metros;2025;Nacional Escolar;Hollyfer avila
Juvenil/Junior Masculino;Lanzamiento de martillo;45.76 metros;2025;Nacional Escolar;Enzo Garces
