Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta
Escolar Masculino;Salto Largo;5.89;2023;Nacional Escolar;Agustin Dominguez
Escolar Masculino;Salto Largo;5.82;2023;Nacional Escolar;Carlos Vergara
Escolar Masculino;Salto Largo;5.75;2023;Nacional Escolar;Lucas Mulatero
Escolar Masculino;Salto Largo;5.63;2023;Nacional Escolar;Martin Ortiz
Escolar Masculino;Salto Largo;4.52;2023;Nacional Escolar;Matias Villagra
Escolar Masculino;Salto Largo;5.38;2023;Nacional Escolar;Agustin Avello
Escolar Masculino;Salto Largo;5.26;2023;Nacional Escolar;Miguel Arias
Escolar Masculino;Salto Largo;5.10;2023;Nacional Escolar;Vicente Avila
Escolar Masculino;Salto Garrocha;3.30;2023;Nacional Escolar;Sebastian Ruiz Tagle
Escolar Masculino;Salto Garrocha;3.10;2023;Nacional Escolar;Jose Kaltwasser
Escolar Masculino;Salto Alto;1.66;2023;Nacional Escolar;Martin Ortiz
Escolar Masculino;Salto Alto;1.60;2023;Nacional Escolar;Matias Armengolli
Escolar Masculino;Salto Alto;1.55;2023;Nacional Escolar;Bastian Lopez
Escolar Masculino;Salto Alto;1.55;2023;Nacional Escolar;Jeronimo Carcelen
Escolar Masculino;Salto Alto;1.55;2023;Nacional Escolar;Diego Muñoz
Escolar Masculino;Salto Alto;1.50;2023;Nacional Escolar;Alex Sepulveda
Escolar Masculino;Salto Alto;1.50;2023;Nacional Escolar;Octavio Mendoza
Escolar Masculino;Salto Alto;1.45;2023;Nacional Escolar;Jose Reyes
Escolar Femenino;Salto Largo;4.90;2023;Nacional Escolar;Violeta Claro
Escolar Femenino;Salto Largo;4.83;2023;Nacional Escolar;Valentina Sepulveda
Escolar Femenino;Salto Largo;4.82;2023;Nacional Escolar;Laura Diaz
Escolar Femenino;Salto Largo;4.77;2023;Nacional Escolar;Taris Loussaint
Escolar Femenino;Salto Largo;4.71;2023;Nacional Escolar;Camila Mendez
Escolar Femenino;Salto Largo;4.71;2023;Nacional Escolar;Catalina Barrientos
Escolar Femenino;Salto Largo;4.53;2023;Nacional Escolar;Julieta Chavez
Escolar Femenino;Salto Largo;4.50;2023;Nacional Escolar;Rosario Ainardi
Escolar Femenino;Salto Garrocha;2.60;2023;Nacional Escolar;Amalia Cosmelli
Escolar Femenino;Salto Garrocha;2.40;2023;Nacional Escolar;Elisa Barros
Escolar Femenino;Salto Garrocha;2.30;2023;Nacional Escolar;Clara de Marchena
Escolar Femenino;Salto Garrocha;2.20;2023;Nacional Escolar;Trinidad Orellana
Escolar Femenino;Salto Alto;1.54;2023;Nacional Escolar;Camila Mendez
Escolar Femenino;Salto Alto;1.54;2023;Nacional Escolar;Josefa Ureta
Escolar Femenino;Salto Alto;1.45;2023;Nacional Escolar;Fernanda Serrano
Escolar Femenino;Salto Alto;1.45;2023;Nacional Escolar;Blanca Gamboa
Escolar Femenino;Salto Alto;1.40;2023;Nacional Escolar;Martina Santander
Escolar Femenino;Salto Alto;1.35;2023;Nacional Escolar;Isidora Pascal
Escolar Femenino;Salto Alto;1.35;2023;Nacional Escolar;Rosario Morales
Escolar Femenino;Salto Alto;1.30;2023;Nacional Escolar;Dominga Carmona
Escolar Masculino;Salto Largo;6.27;2024;Nacional Escolar;Francisca Larrian
Escolar Masculino;Salto Largo;6.14;2024;Nacional Escolar;Nicolas Saydewitz
Escolar Masculino;Salto Largo;5.94;2024;Nacional Escolar;Diego Zañartu
Escolar Masculino;Salto Largo;5.93;2024;Nacional Escolar;Lucas Mulatero
Escolar Masculino;Salto Largo;5.74;2024;Nacional Escolar;Martin Oyarzo
Escolar Masculino;Salto Largo;5.62;2024;Nacional Escolar;Miguel Arias
Escolar Masculino;Salto Largo;5.61;2024;Nacional Escolar;Juan Pablo Rodriguez
Escolar Masculino;Salto Largo;5.39;2024;Nacional Escolar;Mosies Lepe
Escolar Masculino;Salto Garrocha;3.70;2024;Nacional Escolar;Sebastian Jara
Escolar Masculino;Salto Garrocha;3.10;2024;Nacional Escolar;Matias Parra
Escolar Masculino;Salto Garrocha;3.00;2024;Nacional Escolar;Wodan Juerk
Escolar Masculino;Salto Alto;1.75;2024;Nacional Escolar;Domingo Galve
Escolar Masculino;Salto Alto;1.75;2024;Nacional Escolar;Nicolas Saydewitz
