Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta
Adulto Femenino;800m;2.05.37 min;2023;Panamericanos Santiago adulto;Berdine Castillo Lillo
Juvenil/Junior Femenino;800m;2.09.32 min;2021;Panamericanos junior Cali-Valle;Berdine Castillo Lillo
Adulto Femenino;800m;2.10.48 min;2019;Sudamericano Adulto;Berdine Castillo
Adulto Femenino;800m;2.09.44 min;2021;Sudamericano Adulto;Berdine Castillo
Adulto Femenino;800m;2.13.92 min;2021;Sudamericano Adulto;Josefa Quezada
Adulto Femenino;800m;2.04.16 min;2023;Sudamericano Adulto;Berdine Castillo
Juvenil/Junior Femenino;800m;2.18.81 min;2022;Sudamericano Escolar;Karla Pulgar
Juvenil/Junior Femenino;800m;2.17.19 min;2024;Sudamericano Escolar;Fernanda Pavez
Juvenil/Junior Femenino;800m;2.19.05 min;2023;Nacional Escolar;Valentina Cancino
Juvenil/Junior Femenino;800m;2.23.12 min;2023;Nacional Escolar;Josefa Pradenas
Juvenil/Junior Femenino;800m;2.24.14 min;2023;Nacional Escolar;Melí Amancay
Juvenil/Junior Femenino;800m;2.30.15 min;2023;Nacional Escolar;Khrisna Ferrat
Juvenil/Junior Femenino;800m;2.30.51 min;2023;Nacional Escolar;Emmie Hemke
Juvenil/Junior Femenino;800m;2.36.53 min;2023;Nacional Escolar;Sara Belén
Juvenil/Junior Femenino;800m;2.40.55 min;2023;Nacional Escolar;Antonia Jones
Juvenil/Junior Femenino;800m;2.40.58 min;2023;Nacional Escolar;Emely Delegado
Juvenil/Junior Femenino;800m;2.14.20 min;2024;Nacional Escolar;Florencia Castillo
Juvenil/Junior Femenino;800m;2.16.40 min;2024;Nacional Escolar;Martina Torres
Juvenil/Junior Femenino;800m;2.18.3 min;2024;Nacional Escolar;Daniela Rojas
Juvenil/Junior Femenino;800m;2.19.0 min;2024;Nacional Escolar;Josefa Rivas
Juvenil/Junior Femenino;800m;2.21.5 min;2024;Nacional Escolar;Karla Salazar
Juvenil/Junior Femenino;800m;2.22.1 min;2024;Nacional Escolar;Anaís Molina
Juvenil/Junior Femenino;800m;2.23.0 min;2024;Nacional Escolar;Constanza Pérez
Juvenil/Junior Femenino;800m;2.24.6 min;2024;Nacional Escolar;María López
Juvenil/Junior Femenino;800m;2.12. 3 min;2025;Nacional Escolar;Sofía Herrera
Juvenil/Junior Femenino;800m;2.13. 2 min;2025;Nacional Escolar;Valentina Castro
Juvenil/Junior Femenino;800m;2.14. 2 min;2025;Nacional Escolar;Josefa Torres
Juvenil/Junior Femenino;800m;2.15. 3 min;2025;Nacional Escolar;Martina López
Juvenil/Junior Femenino;800m;2.16. 1 min;2025;Nacional Escolar;Catalina Rojas
Juvenil/Junior Femenino;800m;2.17. 4 min;2025;Nacional Escolar;Carolina Díaz
Juvenil/Junior Femenino;800m;2.18. 5 min;2025;Nacional Escolar;Paula Gutiérrez
Juvenil/Junior Femenino;800m;2.19. 3 min;2025;Nacional Escolar;Fernanda Silva
Adulto Femenino;800m;2.06.18 min;2023;Nacional Adulto;Berdine Castullo
Adulto Femenino;800m;2.11.53 min;2023;Nacional Adulto;Javiera Faletto
Adulto Femenino;800m;2.12.11 min;2023;Nacional Adulto;Valentina Barrientos
Adulto Femenino;800m;2.13.29 min;2023;Nacional Adulto;Andrea Jara
Adulto Femenino;800m;2.15.17 min;2023;Nacional Adulto;Javiera Cerna
Adulto Femenino;800m;2.18.33 min;2023;Nacional Adulto;Camila Ugarte
Adulto Femenino;800m;2.20.51 min;2023;Nacional Adulto;Liusmires Valenzuela
Adulto Femenino;800m;2.22.21 min;2023;Nacional Adulto;Matilde Ruiz
Adulto Femenino;800m;2.02.22 min;2024;Nacional Adulto;Berdine Castillo
Adulto Femenino;800m;2.05.22 min;2024;Nacional Adulto;Josefa Quezada
Adulto Femenino;800m;2.06.22 min;2024;Nacional Adulto;Valentina Barrientos
Adulto Femenino;800m;2.07.07 min;2024;Nacional Adulto;Maria Fernandez
Adulto Femenino;800m;2.12.32 min;2024;Nacional Adulto;Matilde Ruiz
Adulto Femenino;800m;2.14.53 min;2024;Nacional Adulto;Andrea Jara
Adulto Femenino;800m;2.18.00 min;2024;Nacional Adulto;Lisette Ureta
Adulto Femenino;800m;2.20.05 min;2024;Nacional Adulto;Camila Ugarte
Adulto Femenino;800m;2.04.89 min;2025;Nacional Adulto;Berdine Castillo
Adulto Femenino;800m;2.14.07 min;2025;Nacional Adulto;Cecilia Gomez
Adulto Femenino;800m;2.15.41 min;2025;Nacional Adulto;Valentina Barrientos
Adulto Femenino;800m;2.17.64 min;2025;Nacional Adulto;Javiera Cerna
Adulto Femenino;800m;2.19.29 min;2025;Nacional Adulto;Sofía Llanos
Adulto Femenino;800m;2.20.08 min;2025;Nacional Adulto;Valentina Diaz
Adulto Femenino;800m;2.21.01 min;2025;Nacional Adulto;Karla Pulgar
Adulto Femenino;800m;2.26.01 min;2025;Nacional Adulto;Agustina Ureta
